stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"10311","Glenferrie Rd/Wattletree Rd #45","-37.86245520","145.02850849","https://transport.vic.gov.au/stop/2587/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"10371","Duncraig Ave/Wattletree Rd #44","-37.86206934","145.02538150","https://transport.vic.gov.au/stop/2588/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"1083","Clyde St/Raleigh Rd #42","-37.76969864","144.89884126","https://transport.vic.gov.au/stop/2382/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"11285","Egerton Rd/Wattletree Rd #43","-37.86170982","145.02275399","https://transport.vic.gov.au/stop/2589/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"1185","Vincent St/Wattletree Rd #50","-37.86422627","145.04337516","https://transport.vic.gov.au/stop/2581/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"12599","Kooyong Rd/Wattletree Rd #42","-37.86134642","145.01989926","https://transport.vic.gov.au/stop/2590/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"1291","Erica Ave/Wattletree Rd #51","-37.86461278","145.04657053","https://transport.vic.gov.au/stop/2579/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"1292","Renown St/Sydney Rd #38","-37.73161894","144.96426570","https://transport.vic.gov.au/stop/2789/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"13401","Punt Rd/High St #28","-37.85056356","144.98404671","https://transport.vic.gov.au/stop/2978/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"13995","Barb St/Raleigh Rd #44","-37.76889124","144.89198456","https://transport.vic.gov.au/stop/2379/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"14033","Perth St/High St #29","-37.85105009","144.98772713","https://transport.vic.gov.au/stop/2977/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"14614","Prahran Station/High St #30","-37.85131864","144.98973147","https://transport.vic.gov.au/stop/2646/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"14728","Chapel St/High St #31","-37.85175647","144.99320872","https://transport.vic.gov.au/stop/2644/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"15559","Randall St/Raleigh Rd #45","-37.76862941","144.88893821","https://transport.vic.gov.au/stop/2001/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"15699","Hornby St/High St #32","-37.85219895","144.99643585","https://transport.vic.gov.au/stop/2642/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"1575","Burke Rd/Wattletree Rd #52","-37.86507635","145.05007082","https://transport.vic.gov.au/stop/2577/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16610","Prahran RSL/High St  #33","-37.85243434","144.99808883","https://transport.vic.gov.au/stop/2640/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16713","Bell St/Sydney Rd #34","-37.74147092","144.96646974","https://transport.vic.gov.au/stop/2794/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16714","Coburg Market/Sydney Rd #33","-37.74325874","144.96614844","https://transport.vic.gov.au/stop/2795/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16715","Munro St/Sydney Rd #32","-37.74506476","144.96583797","https://transport.vic.gov.au/stop/2797/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16716","Reynard St/Sydney Rd #31","-37.74873966","144.96520392","https://transport.vic.gov.au/stop/2798/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16717","The Avenue/Sydney Rd #30","-37.75207324","144.96463590","https://transport.vic.gov.au/stop/2002/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16718","Lewisham Rd/High St #34","-37.85265073","144.99968550","https://transport.vic.gov.au/stop/2639/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16719","Moreland Rd/Sydney Rd #28","-37.75564023","144.96401602","https://transport.vic.gov.au/stop/2802/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16720","Brunswick Tram Depot/Sydney Rd #27","-37.75781457","144.96363858","https://transport.vic.gov.au/stop/2119/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16721","Albion St/Sydney Rd #26","-37.76095918","144.96308694","https://transport.vic.gov.au/stop/2804/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16722","Stewart St/Sydney Rd #25","-37.76323240","144.96269537","https://transport.vic.gov.au/stop/2805/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16723","Brunswick Baptist Church/Sydney Rd #24","-37.76557768","144.96230180","https://transport.vic.gov.au/stop/2806/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16724","Victoria St/Sydney Rd #23","-37.76714106","144.96203185","https://transport.vic.gov.au/stop/2117/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16725","Albert St/Sydney Rd #22","-37.76894706","144.96172115","https://transport.vic.gov.au/stop/2808/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16726","Brunswick Town Hall/Sydney Rd #21","-37.77164265","144.96126113","https://transport.vic.gov.au/stop/2810/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16727","Barkly Square/Sydney Rd #20","-37.77484186","144.96074181","https://transport.vic.gov.au/stop/2400/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16728","Brunswick Rd/Sydney Rd #19","-37.77759128","144.96026887","https://transport.vic.gov.au/stop/2812/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"16730","Ievers St/Royal Pde #17","-37.78188803","144.95963980","https://transport.vic.gov.au/stop/2814/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16731","Visy Park/Royal Pde #16","-37.78485559","144.95927431","https://transport.vic.gov.au/stop/2815/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16732","Leonard St/Royal Pde #15","-37.78793104","144.95889446","https://transport.vic.gov.au/stop/2816/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16733","Macarthur Rd/Royal Pde #14","-37.79001743","144.95864400","https://transport.vic.gov.au/stop/2818/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16734","Gatehouse St/Royal Pde #13","-37.79267912","144.95830955","https://transport.vic.gov.au/stop/2819/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16735","Morrah St/Royal Pde #12","-37.79565568","144.95794368","https://transport.vic.gov.au/stop/2820/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16738","Williams Rd/High St #35","-37.85301095","145.00232392","https://transport.vic.gov.au/stop/2638/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16739","Chatsworth Rd/High St #36","-37.85355558","145.00627581","https://transport.vic.gov.au/stop/2636/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16740","Airlie Ave/High St #37","-37.85386619","145.00865422","https://transport.vic.gov.au/stop/2635/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16741","Orrong Rd/High St #38","-37.85421989","145.01145203","https://transport.vic.gov.au/stop/2976/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16742","Auburn Gr/High St #39","-37.85468487","145.01497429","https://transport.vic.gov.au/stop/2633/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16743","Armadale Station/High St #40","-37.85511852","145.01824739","https://transport.vic.gov.au/stop/2631/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16744","Kooyong Rd/High St #41","-37.85541912","145.02058071","https://transport.vic.gov.au/stop/2630/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16745","Huntingtower Rd/High St #42","-37.85583154","145.02367259","https://transport.vic.gov.au/stop/2629/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16746","Mercer Rd/High St #43","-37.85612189","145.02593803","https://transport.vic.gov.au/stop/2628/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16747","Glenferrie Rd/High St #44","-37.85653646","145.02916631","https://transport.vic.gov.au/stop/2627/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16748","De La Salle College/High St #45","-37.85694174","145.03238350","https://transport.vic.gov.au/stop/2626/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16749","Fraser St/High St #46","-37.85738316","145.03561113","https://transport.vic.gov.au/stop/2625/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16750","Dixon St/High St #47","-37.85769356","145.03801254","https://transport.vic.gov.au/stop/2624/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16751","Tooronga Rd/High St #48","-37.85807757","145.04104854","https://transport.vic.gov.au/stop/2622/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16752","Harold Holt Swim Centre/High St #49","-37.85845437","145.04419842","https://transport.vic.gov.au/stop/2620/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16753","Belmont Ave/High St #50","-37.85894526","145.04825465","https://transport.vic.gov.au/stop/2618/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16754","Burke Rd/High St #51","-37.85930967","145.05121170","https://transport.vic.gov.au/stop/2617/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16755","Boyanda Rd/High St #52","-37.85961375","145.05379528","https://transport.vic.gov.au/stop/2616/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16757","Malvern Rd/High St #53","-37.85999811","145.05633130","https://transport.vic.gov.au/stop/2300/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"16758","Boyanda Rd/High St #52","-37.85978247","145.05418867","https://transport.vic.gov.au/stop/2616/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16759","Burke Rd/High St #51","-37.85948571","145.05150260","https://transport.vic.gov.au/stop/2617/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16760","Belmont Ave/High St #50","-37.85911004","145.04840943","https://transport.vic.gov.au/stop/2618/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16761","Harold Holt Swim Centre/High St #49","-37.85867005","145.04470421","https://transport.vic.gov.au/stop/2620/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16762","Tooronga Rd/High St #48","-37.85827203","145.04136165","https://transport.vic.gov.au/stop/2622/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16764","Dixon St/High St #47","-37.85781967","145.03800920","https://transport.vic.gov.au/stop/2624/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16765","Fraser St/High St #46","-37.85755753","145.03579973","https://transport.vic.gov.au/stop/2625/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16766","De La Salle College/High St #45","-37.85715747","145.03288924","https://transport.vic.gov.au/stop/2626/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16767","Glenferrie Rd/High St #44","-37.85671426","145.02955939","https://transport.vic.gov.au/stop/2627/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16768","Mercer Rd/High St #43","-37.85628898","145.02622909","https://transport.vic.gov.au/stop/2628/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16769","Huntingtower Rd/High St #42","-37.85599635","145.02382731","https://transport.vic.gov.au/stop/2629/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16770","Kooyong Rd/High St #41","-37.85558508","145.02080359","https://transport.vic.gov.au/stop/2630/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16771","Armadale Station/High St #40","-37.85527432","145.01840234","https://transport.vic.gov.au/stop/2631/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16772","Auburn Gr/High St #39","-37.85487154","145.01535572","https://transport.vic.gov.au/stop/2633/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16773","Orrong Rd/High St #38","-37.85438644","145.01170897","https://transport.vic.gov.au/stop/2634/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16774","Airlie Ave/High St #37","-37.85399287","145.00868491","https://transport.vic.gov.au/stop/2635/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16775","Chatsworth Rd/High St #36","-37.85376394","145.00687257","https://transport.vic.gov.au/stop/2636/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16776","Williams Rd/High St #35","-37.85316909","145.00261516","https://transport.vic.gov.au/stop/2638/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16777","Lewisham Rd/High St #34","-37.85282921","145.00011256","https://transport.vic.gov.au/stop/2639/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"16778","Prahran RSL/High St  #33","-37.85262338","144.99860652","https://transport.vic.gov.au/stop/2640/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"1696","Nott St/Wattletree Rd #51","-37.86478209","145.04699802","https://transport.vic.gov.au/stop/2578/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17306","North Coburg Terminus/Sydney Rd #40","-37.72758000","144.96365015","https://transport.vic.gov.au/stop/2786/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17307","Mercy College/Sydney Rd #39","-37.72989065","144.96385917","https://transport.vic.gov.au/stop/2670/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17308","Carr St/Sydney Rd #38","-37.73211182","144.96462665","https://transport.vic.gov.au/stop/2983/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17309","Gaffney St/Sydney Rd #37","-37.73385558","144.96540724","https://transport.vic.gov.au/stop/2984/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17310","Rogers St/Sydney Rd #36","-37.73553432","144.96607617","https://transport.vic.gov.au/stop/2791/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17311","St Pauls Catholic Church/Sydney Rd #35","-37.73750463","144.96693006","https://transport.vic.gov.au/stop/2792/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17312","Bell St/Sydney Rd #34","-37.74115879","144.96665985","https://transport.vic.gov.au/stop/2794/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17313","Coburg Market/Sydney Rd #33","-37.74313615","144.96635607","https://transport.vic.gov.au/stop/2795/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17314","Harding St/Sydney Rd #32","-37.74488833","144.96605843","https://transport.vic.gov.au/stop/2796/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17315","Edward St/Sydney Rd #31","-37.74847354","144.96544955","https://transport.vic.gov.au/stop/2632/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17316","The Avenue/Sydney Rd #30","-37.75186059","144.96484602","https://transport.vic.gov.au/stop/2002/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17317","Moore St/Sydney Rd #29","-37.75350466","144.96455127","https://transport.vic.gov.au/stop/2801/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17318","Moreland Rd/Sydney Rd #28","-37.75528248","144.96417338","https://transport.vic.gov.au/stop/2985/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17319","Brunswick Tram Depot/Sydney Rd #27","-37.75742216","144.96387636","https://transport.vic.gov.au/stop/2119/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17320","Albion St/Sydney Rd #26","-37.76073771","144.96330869","https://transport.vic.gov.au/stop/2804/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17321","Stewart St/Sydney Rd #25","-37.76308280","144.96290381","https://transport.vic.gov.au/stop/2805/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17322","Blyth St/Sydney Rd #24","-37.76535602","144.96251222","https://transport.vic.gov.au/stop/2133/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17323","Victoria St/Sydney Rd #23","-37.76698226","144.96222919","https://transport.vic.gov.au/stop/2117/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17324","Albert St/Sydney Rd #22","-37.76876124","144.96191925","https://transport.vic.gov.au/stop/2808/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17325","Glenlyon Rd/Sydney Rd #21","-37.77136695","144.96147305","https://transport.vic.gov.au/stop/2809/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17327","Brunswick Rd/Sydney Rd #19","-37.77764749","144.96039222","https://transport.vic.gov.au/stop/2812/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17329","Ievers St/Royal Pde #17","-37.78168420","144.95983843","https://transport.vic.gov.au/stop/2814/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17330","Walker St/Royal Pde #16","-37.78458930","144.95950873","https://transport.vic.gov.au/stop/2244/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17331","Leonard St/Royal Pde #15","-37.78767376","144.95912865","https://transport.vic.gov.au/stop/2816/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17332","Cemetery Road West/Royal Pde #14","-37.78971511","144.95887943","https://transport.vic.gov.au/stop/2817/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17333","Gatehouse St/Royal Pde #13","-37.79242184","144.95854375","https://transport.vic.gov.au/stop/2819/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17334","Morrah St/Royal Pde #12","-37.79556053","144.95817343","https://transport.vic.gov.au/stop/2820/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17591","Russell St/Bourke St #7","-37.81276887","144.96835439","https://transport.vic.gov.au/stop/2071/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17593","Swanston St/Bourke St #6","-37.81348355","144.96590389","https://transport.vic.gov.au/stop/2077/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17594","Elizabeth St/Bourke St #5","-37.81421718","144.96350963","https://transport.vic.gov.au/stop/2029/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17596","Queen St/Bourke St #4","-37.81525299","144.95983472","https://transport.vic.gov.au/stop/2067/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17597","William St/Bourke St #3","-37.81588156","144.95762499","https://transport.vic.gov.au/stop/2087/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17602","Hornby St/High St #32","-37.85235382","144.99653395","https://transport.vic.gov.au/stop/2642/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17603","Chapel St/High St #31","-37.85195124","144.99353304","https://transport.vic.gov.au/stop/2644/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17604","Prahran Station/High St #30","-37.85139234","144.98929759","https://transport.vic.gov.au/stop/2645/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17605","Perth St/High St #29","-37.85120671","144.98792745","https://transport.vic.gov.au/stop/2647/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17606","Punt Rd/High St #28","-37.85075836","144.98437099","https://transport.vic.gov.au/stop/2648/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"1784","Gaffney St/Sydney Rd #37","-37.73409741","144.96532119","https://transport.vic.gov.au/stop/2790/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17848","Spencer St/Bourke St #1","-37.81706281","144.95351423","https://transport.vic.gov.au/stop/2091/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17849","Spencer St/Bourke St #1","-37.81684591","144.95399734","https://transport.vic.gov.au/stop/2091/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17850","Flinders Street Railway Station/Elizabeth St #1","-37.81771743","144.96476527","https://transport.vic.gov.au/stop/2722/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17851","Collins St/Elizabeth St #2","-37.81542752","144.96366948","https://transport.vic.gov.au/stop/2721/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17852","Bourke Street Mall/Elizabeth St #3","-37.81344719","144.96275835","https://transport.vic.gov.au/stop/2720/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17854","Melbourne Central Station/Elizabeth St #5","-37.81055845","144.96142925","https://transport.vic.gov.au/stop/2718/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17856","Queen Victoria Market/Elizabeth St #7","-37.80656115","144.95957420","https://transport.vic.gov.au/stop/2258/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
"17857","Peel St/Victoria St #8","-37.80593520","144.95621805","https://transport.vic.gov.au/stop/3122/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17858","William St/Victoria St #9","-37.80568781","144.95390781","https://transport.vic.gov.au/stop/3120/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17859","Chetwynd St/Victoria St #10","-37.80551725","144.95239053","https://transport.vic.gov.au/stop/3164/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17860","Errol St/Victoria St #11","-37.80519567","144.94944632","https://transport.vic.gov.au/stop/3163/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17861","Victoria St/Errol St #11","-37.80495950","144.94933927","https://transport.vic.gov.au/stop/3162/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17862","Chetwynd St/Victoria St #10","-37.80540285","144.95203023","https://transport.vic.gov.au/stop/3164/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17863","Howard St/Victoria St #9","-37.80556361","144.95350235","https://transport.vic.gov.au/stop/3121/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17864","Peel St/Victoria St #8","-37.80580983","144.95574446","https://transport.vic.gov.au/stop/3122/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0"
"17866","Pelham St/Elizabeth St #9","-37.80194658","144.95746377","https://transport.vic.gov.au/stop/2714/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","1","Level 0"
